ISSUE_ID,ISSUE_DATE,DUE_DATE,RETURNED_DATE,COPY_ID,M_ID
182,2020-12-20T02:07:28,2021-01-19T02:07:28,,28,121
201,2020-12-20T18:50:41,2021-01-19T18:50:41,,41,122
202,2020-12-20T18:51:44,2021-01-19T18:51:44,,25,122
181,2020-12-20T02:06:52,2021-01-19T02:06:52,,23,121
87,2020-11-24T04:58:28,2020-12-24T04:58:28,,30,44
81,2020-11-01T00:00:00,2020-12-15T00:00:00,2020-11-15T00:00:00,21,43
141,2020-12-01T17:58:03,2020-12-31T17:58:03,,42,43
161,2020-12-03T13:24:21,2021-01-02T13:24:21,,43,43
82,2020-10-21T00:00:00,2020-12-21T00:00:00,2020-11-15T00:00:00,23,44
83,2020-10-21T00:00:00,2020-11-21T00:00:00,2020-10-30T00:00:00,31,43
85,2020-10-21T00:00:00,2020-11-21T00:00:00,,26,43
86,2020-11-24T00:00:00,2020-12-24T00:00:00,2020-11-27T00:00:00,29,43
101,2020-11-24T12:39:25,2020-12-24T12:39:25,,24,43
