BK_ID,BK_NAME,BK_RATING,BK_BIO,BK_IMAGE_URL,BK_PUBLISHED_DATE
64,Harry Potter and the Half-Blood Prince,4,"Set during Harry Potter's sixth year at Hogwarts, the novel explores the past of the boy wizard's nemesis, Lord Voldemort, and Harry's preparations for the final battle against Voldemort alongside his headmaster and mentor Albus Dumbledore.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX318_.jpg,2005-07-16T00:00:00
67,Harry Potter and the Chamber of Secrets,4,"The plot follows Harry's second year at Hogwarts School of Witchcraft and Wizardry, during which a series of messages on the walls of the school's corridors warn that the ""Chamber of Secrets"" has been opened and that the ""heir of Slytherin"" would kill all pupils who do not come from all-magical families. These threats are found after attacks that leave residents of the school petrified. Throughout the year, Harry and his friends Ron and Hermione investigate the attacks.",https://cdn.waterstones.com/bookjackets/large/9781/4088/9781408855669.jpg,1998-07-02T00:00:00
69,It: A Novel by Stephen King,5,"It is a 1986 horror novel by American author Stephen King. It was his 22nd book, and his 17th novel written under his own name. The story follows the experiences of seven children as they are terrorized by an evil entity that exploits the fears of its victims to disguise itself while hunting its prey.",https://lareviewofbooks-org-cgwbfgl6lklqqj3f4t3.netdna-ssl.com/wp-content/uploads/2016/09/paavpdqsbtggtmn4smxs.png,1986-09-15T00:00:00
71,How to Win Friends and Influence People,4,"The core idea is that you can change other people's behavior simply by changing your own. It teaches you the principles to better understand people, become a more likable person, improve relationships, win others over, and influence behavior through leadership.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388410533l/33288.jpg,1936-10-04T00:00:00
76,Three Daughters of Eve,4,"The book centers on a wealthy, middle-aged housewife, her childhood in Istanbul and her time as a student at Oxford University where she fell in love with a philosophy professor.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475402189l/32329649._SY475_.jpg,2016-06-02T00:00:00
61,Harry Potter and the Philosopher's Stone,5,"It describes how Harry discovers he is a wizard, makes close friends and a few enemies at the Hogwarts School of Witchcraft and Wizardry, and with the help of his friends thwarts an attempted comeback by the evil wizard Voldemort, who killed Harry's parents and tried to kill Harry when he was one year old.",https://cdn.waterstones.com/bookjackets/large/9781/4088/9781408855652.jpg,2001-11-04T00:00:00
62,Harry Potter and the Goblet of Fire,5,"It follows Harry Potter, a wizard in his fourth year at Hogwarts School of Witchcraft and Wizardry, and the mystery surrounding the entry of Harry's name into the Triwizard Tournament, in which he is forced to compete.",https://embed.cdn.pais.scholastic.com/v1/channels/sso/products/identifiers/isbn/9780545582957/primary/renditions/700?useMissingImage=true,2000-07-08T00:00:00
65,Harry Potter and the Order of the Phoenix,5,"It follows Harry Potter's struggles through his fifth year at Hogwarts School of Witchcraft and Wizardry, including the surreptitious return of the antagonist Lord Voldemort, O.W.L. exams, and an obstructive Ministry of Magic.",https://cdn.waterstones.com/bookjackets/large/9781/4088/9781408855690.jpg,2003-06-21T00:00:00
68,Carrie,5,"The story of misfit high-school girl, Carrie White, who gradually discovers that she has telekinetic powers. Repressed by a domineering, ultra-religious mother and tormented by her peers at school, her efforts to fit in lead to a dramatic confrontation during the senior prom.",https://images-na.ssl-images-amazon.com/images/I/51eYJY7IRFL.jpg,1974-04-05T00:00:00
70,The Stand,4,The Stand is a post-apocalyptic dark fantasy novel written by American author Stephen King and first published in 1978 by Doubleday. The plot centers on a pandemic of a weaponized strain of influenza that kills almost the entire world population.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371414486l/5864120.jpg,1978-10-03T00:00:00
